"","Age","Hours.per.day","While.working","Instrumentalist","Composer","Fav.genre","Exploratory","Foreign.languages","Anxiety","Depression","Insomnia","OCD"
"662","Age 18-24","2 < hours <= 4","Listening while working","Non-instrumentalist","Non-composer","R&B","Non-exploring","Only fluent","Fairly Anxious","Not Depressed","Fairly Insomniac","Not O-C"
"663","Age 25-34","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","Metal","Exploring","Not Fluent","Fairly Anxious","Depressed","Insomniac","Not O-C"
"664","Age 18-24","2 < hours <= 4","Not listening while working","Non-instrumentalist","Non-composer","Folk","Exploring","Not Fluent","Anxious","Fairly Depressed","Fairly Insomniac","Not O-C"
"665","Age 18-24","hours <= 2","Listening while working","Instrumentalist","Composer","Rock","Exploring","Only fluent","Not Anxious","Not Depressed","Not Insomniac","Not O-C"
"666","Age 25-34","2 < hours <= 4","Listening while working","Non-instrumentalist","Non-composer","Rock","Exploring","Not Fluent","Anxious","Depressed","Insomniac","Not O-C"
"667","Age < 18","2 < hours <= 4","Listening while working","Instrumentalist","Non-composer","Rock","Non-exploring",NA,"Fairly Anxious","Not Depressed","Fairly Insomniac","Not O-C"
"668","Age 25-34","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","Rock","Exploring","Not Fluent","Fairly Anxious","Not Depressed","Not Insomniac","Fairly O-C"
"669","Age 18-24","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","Pop","Exploring","Not Fluent","Fairly Anxious","Fairly Depressed","Not Insomniac","Fairly O-C"
"670","Age 18-24","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","K pop","Exploring","Not Fluent","Anxious","Depressed","Not Insomniac","Not O-C"
"671","Age 18-24","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","Pop","Exploring","Not Fluent","Fairly Anxious","Not Depressed","Fairly Insomniac","Not O-C"
"672","Age < 18","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","Video game music","Non-exploring","Only fluent","Fairly Anxious","Not Depressed","Fairly Insomniac","Not O-C"
"673","Age 18-24","6+ hours","Listening while working","Instrumentalist","Composer","Metal","Exploring","Not Fluent","Fairly Anxious","Fairly Depressed","Fairly Insomniac","Not O-C"
"674","Age 25-34","6+ hours","Listening while working","Instrumentalist","Composer","Jazz","Exploring","Not Fluent","Fairly Anxious","Depressed","Insomniac","Not O-C"
"675","Age < 18","4 < hours <= 6","Listening while working","Instrumentalist","Non-composer","Rock","Exploring","Only fluent","Anxious","Not Depressed","Insomniac","O-C"
"676","Age 18-24","hours <= 2","Listening while working","Instrumentalist","Non-composer","Classical","Exploring","Not Fluent","Fairly Anxious","Fairly Depressed","Not Insomniac","Not O-C"
"677","Age < 18","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","Folk","Exploring","Not Fluent","Anxious","Fairly Depressed","Not Insomniac","Not O-C"
"678","Age 18-24","2 < hours <= 4","Not listening while working","Non-instrumentalist","Non-composer","Rap","Exploring","Not Fluent","Anxious","Depressed","Insomniac","Fairly O-C"
"679","Age < 18","hours <= 2","Not listening while working","Non-instrumentalist","Composer","Rock","Exploring","Only fluent","Fairly Anxious","Depressed","Not Insomniac","O-C"
"680","Age 35-44","2 < hours <= 4","Listening while working","Non-instrumentalist","Non-composer","Country","Non-exploring","Not Fluent","Not Anxious","Not Depressed","Not Insomniac","Not O-C"
"681","Age 18-24","2 < hours <= 4","Not listening while working","Non-instrumentalist","Non-composer","R&B","Exploring","Not Fluent","Anxious","Depressed","Not Insomniac","Fairly O-C"
"682","Age 18-24","hours <= 2","Not listening while working","Non-instrumentalist","Non-composer","K pop","Non-exploring","Not Fluent","Fairly Anxious","Not Depressed","Fairly Insomniac","Not O-C"
"683","Age 18-24","4 < hours <= 6","Listening while working","Instrumentalist","Non-composer","Latin","Exploring","Not Fluent","Anxious","Fairly Depressed","Not Insomniac","Not O-C"
"684","Age 18-24","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","R&B","Exploring","Only fluent","Anxious","Fairly Depressed","Fairly Insomniac","Fairly O-C"
"685","Age 18-24","6+ hours","Listening while working","Non-instrumentalist","Non-composer","Hip hop","Exploring","Not Fluent","Not Anxious","Not Depressed","Not Insomniac","Not O-C"
"686","Age 18-24","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","Rap","Exploring","Not Fluent","Fairly Anxious","Depressed","Insomniac","Fairly O-C"
"687","Age 18-24","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","Classical","Non-exploring","Only fluent","Not Anxious","Not Depressed","Not Insomniac","Fairly O-C"
"688","Age 18-24","hours <= 2","Not listening while working","Instrumentalist","Non-composer","Classical","Non-exploring","Only fluent","Anxious","Not Depressed","Not Insomniac","Not O-C"
"689","Age 18-24","2 < hours <= 4","Listening while working","Non-instrumentalist","Non-composer","R&B","Non-exploring","Only fluent","Anxious","Not Depressed","Not Insomniac","Not O-C"
"690","Age 18-24","4 < hours <= 6","Listening while working","Non-instrumentalist","Non-composer","R&B","Exploring","Not Fluent","Fairly Anxious","Not Depressed","Not Insomniac","Not O-C"
"691","Age 18-24","2 < hours <= 4","Listening while working","Non-instrumentalist","Non-composer","Hip hop","Exploring","Only fluent","Not Anxious","Depressed","Not Insomniac","Not O-C"
"692","Age < 18","2 < hours <= 4","Listening while working","Non-instrumentalist","Non-composer","Hip hop","Exploring","Only fluent","Anxious","Not Depressed","Not Insomniac","Not O-C"
"693","Age 18-24","2 < hours <= 4","Listening while working","Non-instrumentalist","Non-composer","Video game music","Exploring","Not Fluent","Anxious","Depressed","Insomniac","Not O-C"
"694","Age 18-24","hours <= 2","Listening while working","Instrumentalist","Composer","Pop","Exploring","Only fluent","Anxious","Not Depressed","Not Insomniac","Not O-C"
"695","Age 18-24","hours <= 2","Listening while working","Instrumentalist","Non-composer","Pop","Exploring","Not Fluent","Fairly Anxious","Depressed","Not Insomniac","O-C"
"696","Age 65+","6+ hours","Listening while working","Instrumentalist","Composer","Rap","Non-exploring","Only fluent","Not Anxious","Not Depressed","Not Insomniac","Not O-C"
"697","Age 18-24","4 < hours <= 6","Listening while working","Instrumentalist","Composer","R&B","Exploring","Not Fluent","Anxious","Fairly Depressed","Not Insomniac","O-C"
"698","Age < 18","2 < hours <= 4","Not listening while working","Instrumentalist","Non-composer","Rock","Exploring","Not Fluent","Anxious","Not Depressed","Not Insomniac","Fairly O-C"
"699","Age < 18","2 < hours <= 4","Listening while working","Instrumentalist","Composer","Country","Exploring","Not Fluent","Not Anxious","Not Depressed","Not Insomniac","Not O-C"
"700","Age < 18","6+ hours","Listening while working","Non-instrumentalist","Non-composer","Metal","Non-exploring","Not Fluent","Anxious","Depressed","Insomniac","O-C"
"701","Age 18-24","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","Pop","Non-exploring","Not Fluent","Anxious","Depressed","Fairly Insomniac","Fairly O-C"
"702","Age 25-34","hours <= 2","Listening while working","Instrumentalist","Non-composer","Rock","Exploring","Not Fluent","Anxious","Depressed","Insomniac","Fairly O-C"
"703","Age 35-44","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","Folk","Exploring","Only fluent","Fairly Anxious","Fairly Depressed","Fairly Insomniac","Not O-C"
"704","Age 35-44","hours <= 2","Not listening while working","Non-instrumentalist","Non-composer","Folk","Non-exploring","Only fluent","Anxious","Fairly Depressed","Insomniac","Fairly O-C"
"705","Age 18-24","hours <= 2","Listening while working","Instrumentalist","Non-composer","Metal","Exploring","Not Fluent","Not Anxious","Depressed","Not Insomniac","Not O-C"
"706","Age 18-24","2 < hours <= 4","Listening while working","Instrumentalist","Non-composer","Pop","Exploring","Only fluent","Anxious","Not Depressed","Not Insomniac","O-C"
"707","Age 18-24","hours <= 2","Listening while working","Instrumentalist","Non-composer","Rock","Exploring","Not Fluent","Anxious","Fairly Depressed","Not Insomniac","Fairly O-C"
"708","Age 25-34","hours <= 2","Not listening while working","Non-instrumentalist","Non-composer","Country","Exploring","Only fluent","Fairly Anxious","Not Depressed","Not Insomniac","Fairly O-C"
"709","Age 18-24","2 < hours <= 4","Listening while working","Non-instrumentalist","Non-composer","Video game music","Exploring","Not Fluent","Fairly Anxious","Fairly Depressed","Not Insomniac","Not O-C"
"710","Age 35-44","2 < hours <= 4","Listening while working","Instrumentalist","Composer","Hip hop","Exploring","Only fluent","Anxious","Depressed","Fairly Insomniac","Fairly O-C"
"711","Age < 18","6+ hours","Listening while working","Instrumentalist","Composer","Rock","Exploring","Only fluent","Anxious","Depressed","Fairly Insomniac","O-C"
"712","Age 18-24","4 < hours <= 6","Listening while working","Non-instrumentalist","Non-composer","Metal","Exploring","Not Fluent","Anxious","Fairly Depressed","Insomniac","Not O-C"
"713","Age 18-24","2 < hours <= 4","Listening while working","Non-instrumentalist","Non-composer","Rock","Non-exploring","Only fluent","Anxious","Fairly Depressed","Not Insomniac","Not O-C"
"714","Age < 18","6+ hours","Listening while working","Non-instrumentalist","Non-composer","Pop","Exploring","Not Fluent","Fairly Anxious","Not Depressed","Fairly Insomniac","O-C"
"715","Age 25-34","hours <= 2","Not listening while working","Non-instrumentalist","Non-composer","Country","Exploring","Only fluent","Anxious","Not Depressed","Not Insomniac","Not O-C"
"716","Age 18-24","2 < hours <= 4","Listening while working","Instrumentalist","Composer","Pop","Non-exploring","Only fluent","Fairly Anxious","Fairly Depressed","Not Insomniac","Fairly O-C"
"717","Age < 18","hours <= 2","Not listening while working","Non-instrumentalist","Non-composer","Metal","Exploring","Not Fluent","Anxious","Depressed","Fairly Insomniac","Not O-C"
"718","Age 18-24","hours <= 2","Not listening while working","Non-instrumentalist","Non-composer","Rock","Exploring","Not Fluent","Fairly Anxious","Depressed","Insomniac","Not O-C"
"719","Age < 18","hours <= 2","Listening while working","Instrumentalist","Non-composer","Metal","Exploring","Not Fluent","Anxious","Not Depressed","Insomniac","Not O-C"
"720","Age 18-24","2 < hours <= 4","Listening while working","Non-instrumentalist","Non-composer","Video game music","Exploring","Not Fluent","Anxious","Depressed","Fairly Insomniac","O-C"
"721","Age < 18","4 < hours <= 6","Listening while working","Non-instrumentalist","Non-composer","Hip hop","Exploring","Only fluent","Anxious","Depressed","Fairly Insomniac","Fairly O-C"
"722","Age 18-24","4 < hours <= 6","Listening while working","Instrumentalist","Non-composer","Pop","Exploring","Not Fluent","Anxious","Depressed","Not Insomniac","Not O-C"
"723","Age 18-24","2 < hours <= 4","Listening while working","Non-instrumentalist","Non-composer","Pop","Exploring","Not Fluent","Anxious","Fairly Depressed","Not Insomniac","Not O-C"
"724","Age < 18","4 < hours <= 6","Listening while working","Non-instrumentalist","Non-composer","Pop","Exploring","Not Fluent","Anxious","Depressed","Fairly Insomniac","O-C"
"725","Age 18-24","4 < hours <= 6","Listening while working","Non-instrumentalist","Non-composer","Pop","Exploring","Not Fluent","Fairly Anxious","Fairly Depressed","Insomniac","Not O-C"
"726","Age < 18","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","Video game music","Exploring","Only fluent","Anxious","Depressed","Insomniac","Fairly O-C"
"727","Age 18-24","6+ hours","Listening while working","Non-instrumentalist","Non-composer","EDM","Exploring","Only fluent","Anxious","Depressed","Fairly Insomniac","O-C"
"728","Age 25-34","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","Metal","Exploring","Not Fluent","Not Anxious","Not Depressed","Not Insomniac","Not O-C"
"729","Age < 18","6+ hours","Listening while working","Instrumentalist","Non-composer","Country","Exploring","Only fluent","Anxious","Not Depressed","Not Insomniac","Not O-C"
"730","Age 18-24","hours <= 2","Not listening while working","Non-instrumentalist","Non-composer","Pop","Exploring","Only fluent","Fairly Anxious","Not Depressed","Not Insomniac","Not O-C"
"731","Age 18-24","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","R&B","Exploring","Not Fluent","Anxious","Fairly Depressed","Fairly Insomniac","Fairly O-C"
"732","Age < 18","hours <= 2","Listening while working","Instrumentalist","Non-composer","Rock","Exploring","Not Fluent","Anxious","Fairly Depressed","Not Insomniac","O-C"
"733","Age 18-24","hours <= 2","Listening while working","Instrumentalist","Non-composer","Pop","Exploring","Not Fluent","Not Anxious","Not Depressed","Not Insomniac","Fairly O-C"
"734","Age 18-24","4 < hours <= 6","Listening while working","Non-instrumentalist","Composer","Rap","Exploring","Only fluent","Not Anxious","Not Depressed","Not Insomniac","Not O-C"
"735","Age 18-24","4 < hours <= 6","Listening while working","Instrumentalist","Non-composer","Classical","Non-exploring","Only fluent","Not Anxious","Not Depressed","Not Insomniac","Not O-C"
"736","Age 25-34","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","Hip hop","Exploring","Not Fluent","Not Anxious","Not Depressed","Not Insomniac","Fairly O-C"
